id;curso_id;codigo;nombre;credito
1;89524;instalación payment;metrics Pizza invoice;18691
2;13007;función Actualizable;generación convergence;96018
3;52567;Rampa Ladrillo;application Multi Pequeño;52059
4;37200;functionalities Principado Camiseta;withdrawal Interfaz;27573
5;70149;Murcia Artesanal;Murcia;852
6;18224;auxiliary;mobile Aruban;98601
7;26296;Investment Comunidad Hormigon;Borders;93719
8;11064;jerarquía Denar;global Centrado Orgánico;3695
9;7618;Granito sensor Fantástico;Argelia Borders;66728
10;5597;Denar;Gris;14315
