id;auditoria_id;nota_anterior;nota_nueva;fecha_modificacion;ip;usuario_portal
1;91197;35754;10645;2023-04-26;Avanzado Inversor Sabroso;Madera Investigación Bebes
2;78750;28391;73634;2023-04-26;Sopa Pantalones Respuesta;plataforma
3;2241;43414;41188;2023-04-26;Facilitador Intercambiable;Investment Gerente
4;3185;2128;28102;2023-04-27;local intermedia;optical seamless engage
5;99973;71648;35294;2023-04-26;Avon;groupware
6;61964;8512;98536;2023-04-26;parse;payment interfaces focus
7;21992;75905;40557;2023-04-26;monitorizar;GB Cataluña
8;37254;2150;51115;2023-04-26;bypassing;Azul
9;1367;49551;29458;2023-04-26;Cambridgeshire Pollo habilidad;Money Credit Poland
10;27486;24799;88397;2023-04-26;Ensalada Buckinghamshire Ramal;Lebanese Consultor
